instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,day_name,year_month
1515,2011-03-08,1,0,3,11,0,2,1,2,0.36,0.3485,0.25,0.1642,26,52.0,78.0,Tuesday,2011-03
1516,2011-03-08,1,0,3,12,0,2,1,2,0.36,0.3788,0.23,0.0,29,70.0,99.0,Tuesday,2011-03
1517,2011-03-08,1,0,3,13,0,2,1,2,0.38,0.3939,0.25,0.1045,25,73.0,98.0,Tuesday,2011-03
1518,2011-03-08,1,0,3,14,0,2,1,2,0.38,0.3939,0.2,0.0,16,56.0,72.0,Tuesday,2011-03
1519,2011-03-08,1,0,3,15,0,2,1,2,0.36,0.3788,0.18,0.0,35,77.0,112.0,Tuesday,2011-03
1520,2011-03-08,1,0,3,16,0,2,1,1,0.38,0.3939,0.27,0.1642,26,82.0,108.0,Tuesday,2011-03
1521,2011-03-08,1,0,3,17,0,2,1,1,0.36,0.3485,0.27,0.2239,39,209.0,248.0,Tuesday,2011-03
1522,2011-03-08,1,0,3,18,0,2,1,1,0.34,0.3333,0.27,0.194,21,214.0,235.0,Tuesday,2011-03
1523,2011-03-08,1,0,3,19,0,2,1,1,0.34,0.3485,0.31,0.1045,9,141.0,150.0,Tuesday,2011-03
1524,2011-03-08,1,0,3,20,0,2,1,1,0.32,0.3333,0.39,0.0896,2,74.0,76.0,Tuesday,2011-03
1525,2011-03-08,1,0,3,21,0,2,1,1,0.3,0.2879,0.49,0.194,7,68.0,75.0,Tuesday,2011-03
1526,2011-03-08,1,0,3,22,0,2,1,1,0.3,0.2879,0.49,0.2239,11,44.0,55.0,Tuesday,2011-03
1527,2011-03-08,1,0,3,23,0,2,1,1,0.28,0.2727,0.61,0.194,3,38.0,41.0,Tuesday,2011-03
1528,2011-03-09,1,0,3,0,0,3,1,1,0.26,0.2879,0.65,0.0896,0,9.0,9.0,Wednesday,2011-03
1529,2011-03-09,1,0,3,1,0,3,1,1,0.26,0.2727,0.52,0.1343,0,4.0,4.0,Wednesday,2011-03
1530,2011-03-09,1,0,3,2,0,3,1,1,0.26,0.2727,0.52,0.1343,1,1.0,2.0,Wednesday,2011-03
1531,2011-03-09,1,0,3,3,0,3,1,1,0.24,0.2576,0.7,0.0896,1,2.0,3.0,Wednesday,2011-03
1532,2011-03-09,1,0,3,4,0,3,1,1,0.24,0.2576,0.75,0.1045,0,2.0,2.0,Wednesday,2011-03
1533,2011-03-09,1,0,3,5,0,3,1,2,0.24,0.2424,0.81,0.1343,1,7.0,8.0,Wednesday,2011-03
1534,2011-03-09,1,0,3,6,0,3,1,2,0.24,0.2576,0.85,0.1045,5,44.0,49.0,Wednesday,2011-03
1535,2011-03-09,1,0,3,7,0,3,1,2,0.24,0.2424,0.87,0.1642,18,123.0,141.0,Wednesday,2011-03
1536,2011-03-09,1,0,3,8,0,3,1,2,0.24,0.2424,0.87,0.1343,11,238.0,249.0,Wednesday,2011-03
1537,2011-03-09,1,0,3,9,0,3,1,2,0.26,0.2424,0.87,0.2537,5,136.0,141.0,Wednesday,2011-03
1538,2011-03-09,1,0,3,10,0,3,1,2,0.3,0.2879,0.75,0.2537,8,49.0,57.0,Wednesday,2011-03
1539,2011-03-09,1,0,3,11,0,3,1,2,0.32,0.2879,0.76,0.3881,15,44.0,59.0,Wednesday,2011-03
1540,2011-03-09,1,0,3,12,0,3,1,2,0.32,0.303,0.76,0.2537,14,84.0,98.0,Wednesday,2011-03
1541,2011-03-09,1,0,3,13,0,3,1,2,0.32,0.2879,0.76,0.3582,17,82.0,99.0,Wednesday,2011-03
1542,2011-03-09,1,0,3,14,0,3,1,2,0.34,0.303,0.76,0.2985,10,61.0,71.0,Wednesday,2011-03
1543,2011-03-09,1,0,3,15,0,3,1,2,0.36,0.3333,0.71,0.2985,15,64.0,79.0,Wednesday,2011-03
1544,2011-03-09,1,0,3,16,0,3,1,2,0.34,0.303,0.76,0.3284,10,102.0,112.0,Wednesday,2011-03
1545,2011-03-09,1,0,3,17,0,3,1,2,0.34,0.303,0.76,0.2985,18,176.0,194.0,Wednesday,2011-03
1546,2011-03-09,1,0,3,18,0,3,1,2,0.34,0.3182,0.76,0.2537,12,176.0,188.0,Wednesday,2011-03
1547,2011-03-09,1,0,3,19,0,3,1,2,0.34,0.303,0.76,0.3284,11,123.0,134.0,Wednesday,2011-03
1548,2011-03-09,1,0,3,20,0,3,1,2,0.32,0.3182,0.87,0.194,4,87.0,91.0,Wednesday,2011-03
1549,2011-03-09,1,0,3,21,0,3,1,2,0.32,0.303,0.93,0.3284,10,52.0,62.0,Wednesday,2011-03
1550,2011-03-09,1,0,3,22,0,3,1,3,0.32,0.3182,0.93,0.1642,4,17.0,21.0,Wednesday,2011-03
1551,2011-03-09,1,0,3,23,0,3,1,3,0.34,0.3333,0.93,0.194,1,17.0,18.0,Wednesday,2011-03
1552,2011-03-10,1,0,3,0,0,4,1,3,0.34,0.3182,0.0,0.2537,3,1.0,3.0,Thursday,2011-03
1553,2011-03-10,1,0,3,1,0,4,1,3,0.34,0.3182,0.0,0.2537,0,2.0,2.0,Thursday,2011-03
1554,2011-03-10,1,0,3,2,0,4,1,3,0.34,0.3182,0.0,0.2537,0,1.0,2.0,Thursday,2011-03
1555,2011-03-10,1,0,3,5,0,4,1,3,0.36,0.3485,0.0,0.194,1,2.0,3.0,Thursday,2011-03
1556,2011-03-10,1,0,3,6,0,4,1,3,0.36,0.3333,0.0,0.3284,0,12.0,12.0,Thursday,2011-03
1557,2011-03-10,1,0,3,7,0,4,1,3,0.38,0.3939,0.0,0.2239,1,36.0,37.0,Thursday,2011-03
1558,2011-03-10,1,0,3,8,0,4,1,3,0.38,0.3939,0.0,0.2836,1,43.0,44.0,Thursday,2011-03
1559,2011-03-10,1,0,3,9,0,4,1,3,0.4,0.4091,0.0,0.2239,1,23.0,24.0,Thursday,2011-03
1560,2011-03-10,1,0,3,10,0,4,1,3,0.4,0.4091,0.0,0.1642,0,17.0,17.0,Thursday,2011-03
1561,2011-03-10,1,0,3,11,0,4,1,3,0.4,0.4091,0.0,0.2537,6,5.0,11.0,Thursday,2011-03
1562,2011-03-10,1,0,3,12,0,4,1,3,0.42,0.4242,0.0,0.2239,4,30.0,34.0,Thursday,2011-03
1563,2011-03-10,1,0,3,13,0,4,1,3,0.42,0.4242,0.0,0.2239,1,11.0,12.0,Thursday,2011-03
1564,2011-03-10,1,0,3,14,0,4,1,3,0.44,0.4394,0.0,0.2985,0,12.0,12.0,Thursday,2011-03
1565,2011-03-10,1,0,3,15,0,4,1,3,0.44,0.4394,0.0,0.2239,3,11.0,14.0,Thursday,2011-03
1566,2011-03-10,1,0,3,16,0,4,1,3,0.42,0.4242,0.0,0.2537,1,20.0,21.0,Thursday,2011-03
1567,2011-03-10,1,0,3,17,0,4,1,2,0.44,0.4394,0.0,0.3881,2,109.0,111.0,Thursday,2011-03
1568,2011-03-10,1,0,3,18,0,4,1,3,0.44,0.4394,0.0,0.3582,2,80.0,82.0,Thursday,2011-03
1569,2011-03-10,1,0,3,19,0,4,1,3,0.44,0.4394,0.0,0.5821,5,51.0,56.0,Thursday,2011-03
1570,2011-03-10,1,0,3,20,0,4,1,3,0.36,0.3333,0.0,0.3284,9,29.0,38.0,Thursday,2011-03
1571,2011-03-10,1,0,3,21,0,4,1,3,0.36,0.3485,0.0,0.2239,1,27.0,28.0,Thursday,2011-03
1572,2011-03-10,1,0,3,22,0,4,1,2,0.34,0.3333,0.0,0.1343,4,30.0,34.0,Thursday,2011-03
1573,2011-03-10,1,0,3,23,0,4,1,3,0.34,0.3485,0.0,0.0896,1,26.0,27.0,Thursday,2011-03
1574,2011-03-11,1,0,3,0,0,5,1,2,0.34,0.3485,1.0,0.0896,0,6.0,6.0,Friday,2011-03
1575,2011-03-11,1,0,3,1,0,5,1,3,0.34,0.3485,1.0,0.1045,0,8.0,8.0,Friday,2011-03
1576,2011-03-11,1,0,3,2,0,5,1,3,0.34,0.3485,1.0,0.1045,2,3.0,5.0,Friday,2011-03
1577,2011-03-11,1,0,3,3,0,5,1,2,0.32,0.3333,0.93,0.0896,0,2.0,2.0,Friday,2011-03
1578,2011-03-11,1,0,3,5,0,5,1,1,0.3,0.2879,0.81,0.2239,1,6.0,7.0,Friday,2011-03
1579,2011-03-11,1,0,3,6,0,5,1,1,0.26,0.2424,0.81,0.2836,1,31.0,32.0,Friday,2011-03
1580,2011-03-11,1,0,3,7,0,5,1,1,0.26,0.2576,0.7,0.194,10,104.0,114.0,Friday,2011-03
1581,2011-03-11,1,0,3,8,0,5,1,1,0.28,0.2727,0.7,0.2537,15,244.0,259.0,Friday,2011-03
1582,2011-03-11,1,0,3,9,0,5,1,2,0.3,0.2879,0.61,0.2836,13,143.0,156.0,Friday,2011-03
1583,2011-03-11,1,0,3,10,0,5,1,2,0.32,0.303,0.57,0.2985,18,60.0,78.0,Friday,2011-03
1584,2011-03-11,1,0,3,11,0,5,1,2,0.32,0.303,0.57,0.2985,14,67.0,81.0,Friday,2011-03
1585,2011-03-11,1,0,3,12,0,5,1,2,0.34,0.3182,0.53,0.2537,15,96.0,111.0,Friday,2011-03
1586,2011-03-11,1,0,3,13,0,5,1,1,0.36,0.3333,0.53,0.2537,15,92.0,107.0,Friday,2011-03
1587,2011-03-11,1,0,3,14,0,5,1,2,0.36,0.3333,0.5,0.3582,25,64.0,89.0,Friday,2011-03
1588,2011-03-11,1,0,3,15,0,5,1,2,0.34,0.3182,0.53,0.2537,21,64.0,85.0,Friday,2011-03
1589,2011-03-11,1,0,3,16,0,5,1,2,0.34,0.303,0.49,0.2985,18,95.0,113.0,Friday,2011-03
1590,2011-03-11,1,0,3,17,0,5,1,1,0.34,0.3182,0.49,0.2239,23,200.0,223.0,Friday,2011-03
1591,2011-03-11,1,0,3,18,0,5,1,1,0.32,0.303,0.49,0.3284,19,134.0,153.0,Friday,2011-03
1592,2011-03-11,1,0,3,19,0,5,1,1,0.3,0.2727,0.56,0.3284,7,111.0,118.0,Friday,2011-03
1593,2011-03-11,1,0,3,20,0,5,1,1,0.3,0.303,0.56,0.1642,6,70.0,76.0,Friday,2011-03
1594,2011-03-11,1,0,3,21,0,5,1,2,0.3,0.2879,0.52,0.2537,10,43.0,53.0,Friday,2011-03
1595,2011-03-11,1,0,3,22,0,5,1,1,0.3,0.303,0.52,0.1642,11,53.0,64.0,Friday,2011-03
1596,2011-03-11,1,0,3,23,0,5,1,1,0.3,0.2879,0.52,0.2537,3,34.0,37.0,Friday,2011-03
1597,2011-03-12,1,0,3,0,0,6,0,1,0.26,0.2727,0.6,0.1343,4,30.0,34.0,Saturday,2011-03
1598,2011-03-12,1,0,3,1,0,6,0,1,0.24,0.2273,0.65,0.194,3,15.0,18.0,Saturday,2011-03
1599,2011-03-12,1,0,3,2,0,6,0,1,0.24,0.2273,0.65,0.194,0,14.0,14.0,Saturday,2011-03
1600,2011-03-12,1,0,3,3,0,6,0,1,0.24,0.2273,0.65,0.2537,1,6.0,7.0,Saturday,2011-03
1601,2011-03-12,1,0,3,4,0,6,0,1,0.24,0.2273,0.65,0.2537,0,1.0,2.0,Saturday,2011-03
1602,2011-03-12,1,0,3,5,0,6,0,1,0.22,0.2273,0.69,0.194,0,2.0,2.0,Saturday,2011-03
1603,2011-03-12,1,0,3,6,0,6,0,1,0.22,0.2121,0.75,0.2537,2,2.0,4.0,Saturday,2011-03
1604,2011-03-12,1,0,3,7,0,6,0,1,0.24,0.2273,0.7,0.194,4,19.0,23.0,Saturday,2011-03
1605,2011-03-12,1,0,3,8,0,6,0,1,0.26,0.2576,0.65,0.1642,9,44.0,53.0,Saturday,2011-03
1606,2011-03-12,1,0,3,9,0,6,0,1,0.28,0.2879,0.65,0.1045,25,76.0,101.0,Saturday,2011-03
1607,2011-03-12,1,0,3,10,0,6,0,1,0.32,0.303,0.66,0.2239,21,78.0,99.0,Saturday,2011-03
1608,2011-03-12,1,0,3,11,0,6,0,1,0.34,0.303,0.49,0.3284,36,83.0,119.0,Saturday,2011-03
1609,2011-03-12,1,0,3,12,0,6,0,1,0.34,0.3182,0.53,0.2836,51,107.0,158.0,Saturday,2011-03
1610,2011-03-12,1,0,3,13,0,6,0,1,0.36,0.3333,0.51,0.3582,62,95.0,157.0,Saturday,2011-03
1611,2011-03-12,1,0,3,14,0,6,0,1,0.4,0.4091,0.5,0.4478,70,96.0,166.0,Saturday,2011-03
1612,2011-03-12,1,0,3,15,0,6,0,1,0.42,0.4242,0.44,0.4925,81,101.0,182.0,Saturday,2011-03
1613,2011-03-12,1,0,3,16,0,6,0,1,0.46,0.4545,0.41,0.4478,100,144.0,244.0,Saturday,2011-03
1614,2011-03-12,1,0,3,17,0,6,0,1,0.46,0.4545,0.44,0.3284,99,114.0,213.0,Saturday,2011-03
1615,2011-03-12,1,0,3,18,0,6,0,1,0.42,0.4242,0.54,0.1642,54,91.0,145.0,Saturday,2011-03
1616,2011-03-12,1,0,3,19,0,6,0,1,0.42,0.4242,0.54,0.0896,26,86.0,112.0,Saturday,2011-03
1617,2011-03-12,1,0,3,20,0,6,0,1,0.4,0.4091,0.58,0.1045,22,64.0,86.0,Saturday,2011-03
1618,2011-03-12,1,0,3,21,0,6,0,1,0.38,0.3939,0.62,0.0,36,46.0,82.0,Saturday,2011-03
1619,2011-03-12,1,0,3,22,0,6,0,1,0.36,0.3788,0.71,0.0,7,56.0,63.0,Saturday,2011-03
1620,2011-03-12,1,0,3,23,0,6,0,1,0.38,0.3939,0.66,0.0896,11,38.0,49.0,Saturday,2011-03
1621,2011-03-13,1,0,3,0,0,0,0,1,0.38,0.3939,0.62,0.1045,3,35.0,38.0,Sunday,2011-03
1622,2011-03-13,1,0,3,1,0,0,0,1,0.36,0.3485,0.66,0.1343,10,23.0,33.0,Sunday,2011-03
1623,2011-03-13,1,0,3,3,0,0,0,1,0.34,0.3333,0.76,0.1343,6,17.0,23.0,Sunday,2011-03
1624,2011-03-13,1,0,3,4,0,0,0,1,0.34,0.3333,0.66,0.1642,4,9.0,13.0,Sunday,2011-03
1625,2011-03-13,1,0,3,5,0,0,0,1,0.36,0.3485,0.62,0.1343,0,3.0,3.0,Sunday,2011-03
1626,2011-03-13,1,0,3,6,0,0,0,1,0.34,0.3636,0.66,0.0,0,2.0,2.0,Sunday,2011-03
1627,2011-03-13,1,0,3,7,0,0,0,1,0.36,0.3485,0.62,0.194,2,8.0,10.0,Sunday,2011-03
1628,2011-03-13,1,0,3,8,0,0,0,1,0.4,0.4091,0.5,0.2985,11,23.0,34.0,Sunday,2011-03
1629,2011-03-13,1,0,3,9,0,0,0,1,0.4,0.4091,0.5,0.4179,8,36.0,44.0,Sunday,2011-03
1630,2011-03-13,1,0,3,10,0,0,0,1,0.42,0.4242,0.47,0.2537,36,86.0,122.0,Sunday,2011-03
1631,2011-03-13,1,0,3,11,0,0,0,1,0.44,0.4394,0.41,0.4179,88,93.0,181.0,Sunday,2011-03
1632,2011-03-13,1,0,3,12,0,0,0,1,0.46,0.4545,0.38,0.3881,74,120.0,194.0,Sunday,2011-03
1633,2011-03-13,1,0,3,13,0,0,0,1,0.46,0.4545,0.38,0.3881,97,124.0,221.0,Sunday,2011-03
1634,2011-03-13,1,0,3,14,0,0,0,1,0.46,0.4545,0.41,0.2985,144,106.0,250.0,Sunday,2011-03
1635,2011-03-13,1,0,3,15,0,0,0,1,0.48,0.4697,0.39,0.3284,149,155.0,304.0,Sunday,2011-03
1636,2011-03-13,1,0,3,16,0,0,0,1,0.46,0.4545,0.41,0.3881,124,132.0,256.0,Sunday,2011-03
1637,2011-03-13,1,0,3,17,0,0,0,1,0.44,0.4394,0.41,0.3582,98,143.0,241.0,Sunday,2011-03
1638,2011-03-13,1,0,3,18,0,0,0,1,0.4,0.4091,0.43,0.3582,55,92.0,147.0,Sunday,2011-03
1639,2011-03-13,1,0,3,19,0,0,0,1,0.36,0.3333,0.5,0.3582,28,73.0,101.0,Sunday,2011-03
1640,2011-03-13,1,0,3,20,0,0,0,1,0.32,0.303,0.57,0.2985,23,54.0,77.0,Sunday,2011-03
1641,2011-03-13,1,0,3,21,0,0,0,1,0.3,0.2879,0.56,0.2537,9,49.0,58.0,Sunday,2011-03
1642,2011-03-13,1,0,3,22,0,0,0,1,0.3,0.2727,0.56,0.3284,8,29.0,37.0,Sunday,2011-03
1643,2011-03-13,1,0,3,23,0,0,0,1,0.26,0.2576,0.65,0.2239,5,23.0,28.0,Sunday,2011-03
1644,2011-03-14,1,0,3,0,0,1,1,1,0.26,0.2727,0.65,0.1045,4,7.0,11.0,Monday,2011-03
1645,2011-03-14,1,0,3,1,0,1,1,1,0.26,0.2879,0.65,0.0896,0,1.0,2.0,Monday,2011-03
1646,2011-03-14,1,0,3,2,0,1,1,1,0.26,0.2879,0.65,0.0896,0,1.0,2.0,Monday,2011-03
1647,2011-03-14,1,0,3,3,0,1,1,1,0.26,0.2727,0.65,0.1343,0,3.0,3.0,Monday,2011-03
1648,2011-03-14,1,0,3,5,0,1,1,1,0.24,0.2424,0.7,0.1343,0,8.0,8.0,Monday,2011-03
1649,2011-03-14,1,0,3,6,0,1,1,1,0.26,0.2727,0.65,0.1343,1,27.0,28.0,Monday,2011-03
1650,2011-03-14,1,0,3,7,0,1,1,2,0.28,0.3182,0.61,0.0,4,84.0,88.0,Monday,2011-03
1651,2011-03-14,1,0,3,8,0,1,1,2,0.3,0.303,0.56,0.1343,24,217.0,241.0,Monday,2011-03
1652,2011-03-14,1,0,3,9,0,1,1,1,0.32,0.303,0.53,0.3284,13,127.0,140.0,Monday,2011-03
1653,2011-03-14,1,0,3,10,0,1,1,1,0.34,0.3182,0.42,0.2537,27,57.0,84.0,Monday,2011-03
1654,2011-03-14,1,0,3,11,0,1,1,1,0.36,0.3333,0.4,0.2537,26,45.0,71.0,Monday,2011-03
1655,2011-03-14,1,0,3,12,0,1,1,1,0.38,0.3939,0.37,0.0,40,54.0,94.0,Monday,2011-03
1656,2011-03-14,1,0,3,13,0,1,1,1,0.38,0.3939,0.36,0.3284,24,51.0,75.0,Monday,2011-03
1657,2011-03-14,1,0,3,14,0,1,1,2,0.38,0.3939,0.34,0.0,27,52.0,79.0,Monday,2011-03
1658,2011-03-14,1,0,3,15,0,1,1,1,0.38,0.3939,0.37,0.1642,24,77.0,101.0,Monday,2011-03
1659,2011-03-14,1,0,3,16,0,1,1,1,0.4,0.4091,0.35,0.1045,27,80.0,107.0,Monday,2011-03
1660,2011-03-14,1,0,3,17,0,1,1,1,0.38,0.3939,0.4,0.194,42,229.0,271.0,Monday,2011-03
1661,2011-03-14,1,0,3,18,0,1,1,1,0.36,0.3636,0.4,0.1045,25,210.0,235.0,Monday,2011-03
1662,2011-03-14,1,0,3,19,0,1,1,1,0.36,0.3485,0.43,0.1343,17,133.0,150.0,Monday,2011-03
1663,2011-03-14,1,0,3,20,0,1,1,1,0.34,0.3182,0.46,0.2239,23,106.0,129.0,Monday,2011-03
1664,2011-03-14,1,0,3,21,0,1,1,1,0.34,0.3333,0.46,0.1343,5,58.0,63.0,Monday,2011-03
1665,2011-03-14,1,0,3,22,0,1,1,1,0.32,0.3333,0.49,0.1045,4,43.0,47.0,Monday,2011-03
1666,2011-03-14,1,0,3,23,0,1,1,1,0.32,0.3485,0.53,0.0,2,17.0,19.0,Monday,2011-03
1667,2011-03-15,1,0,3,0,0,2,1,1,0.32,0.3485,0.53,0.0,7,7.0,14.0,Tuesday,2011-03
1668,2011-03-15,1,0,3,1,0,2,1,1,0.3,0.303,0.62,0.0896,4,6.0,10.0,Tuesday,2011-03
1669,2011-03-15,1,0,3,2,0,2,1,1,0.3,0.303,0.62,0.0896,1,2.0,3.0,Tuesday,2011-03
1670,2011-03-15,1,0,3,4,0,2,1,1,0.24,0.2576,0.75,0.0896,1,1.0,2.0,Tuesday,2011-03
1671,2011-03-15,1,0,3,5,0,2,1,1,0.24,0.2273,0.75,0.194,0,11.0,11.0,Tuesday,2011-03
1672,2011-03-15,1,0,3,6,0,2,1,1,0.22,0.2273,0.8,0.194,3,32.0,35.0,Tuesday,2011-03
1673,2011-03-15,1,0,3,7,0,2,1,1,0.24,0.2424,0.75,0.1642,10,109.0,119.0,Tuesday,2011-03
1674,2011-03-15,1,0,3,8,0,2,1,1,0.26,0.2879,0.7,0.0896,23,259.0,282.0,Tuesday,2011-03
1675,2011-03-15,1,0,3,9,0,2,1,2,0.3,0.3333,0.7,0.0,10,147.0,157.0,Tuesday,2011-03
1676,2011-03-15,1,0,3,10,0,2,1,2,0.32,0.3182,0.66,0.194,22,56.0,78.0,Tuesday,2011-03
1677,2011-03-15,1,0,3,11,0,2,1,2,0.34,0.3182,0.57,0.2239,27,51.0,78.0,Tuesday,2011-03
1678,2011-03-15,1,0,3,12,0,2,1,2,0.36,0.3485,0.5,0.2239,32,70.0,102.0,Tuesday,2011-03
1679,2011-03-15,1,0,3,13,0,2,1,2,0.36,0.3333,0.57,0.2836,23,74.0,97.0,Tuesday,2011-03
1680,2011-03-15,1,0,3,14,0,2,1,2,0.38,0.3939,0.46,0.2985,14,74.0,88.0,Tuesday,2011-03
1681,2011-03-15,1,0,3,15,0,2,1,2,0.38,0.3939,0.43,0.2836,24,66.0,90.0,Tuesday,2011-03
1682,2011-03-15,1,0,3,16,0,2,1,2,0.38,0.3939,0.46,0.3284,21,93.0,114.0,Tuesday,2011-03
1683,2011-03-15,1,0,3,17,0,2,1,2,0.36,0.3485,0.62,0.194,22,195.0,217.0,Tuesday,2011-03
1684,2011-03-15,1,0,3,18,0,2,1,2,0.36,0.3333,0.62,0.2985,18,207.0,225.0,Tuesday,2011-03
1685,2011-03-15,1,0,3,19,0,2,1,2,0.34,0.3182,0.71,0.2836,14,138.0,152.0,Tuesday,2011-03
1686,2011-03-15,1,0,3,20,0,2,1,2,0.34,0.3182,0.71,0.2836,9,79.0,88.0,Tuesday,2011-03
1687,2011-03-15,1,0,3,21,0,2,1,3,0.32,0.3333,0.81,0.1045,2,53.0,55.0,Tuesday,2011-03
1688,2011-03-15,1,0,3,22,0,2,1,2,0.32,0.3182,0.87,0.1642,1,20.0,21.0,Tuesday,2011-03
1689,2011-03-15,1,0,3,23,0,2,1,2,0.32,0.3182,0.87,0.1642,1,17.0,18.0,Tuesday,2011-03
1690,2011-03-16,1,0,3,0,0,3,1,3,0.3,0.2879,0.93,0.2537,0,8.0,8.0,Wednesday,2011-03
1691,2011-03-16,1,0,3,1,0,3,1,3,0.3,0.2727,1.0,0.2985,1,2.0,3.0,Wednesday,2011-03
1692,2011-03-16,1,0,3,3,0,3,1,2,0.28,0.2727,1.0,0.2239,1,2.0,3.0,Wednesday,2011-03
1693,2011-03-16,1,0,3,4,0,3,1,2,0.3,0.303,0.93,0.1642,0,1.0,2.0,Wednesday,2011-03
1694,2011-03-16,1,0,3,5,0,3,1,2,0.3,0.3182,0.93,0.1045,0,3.0,3.0,Wednesday,2011-03
1695,2011-03-16,1,0,3,6,0,3,1,2,0.3,0.3182,0.93,0.1045,1,30.0,31.0,Wednesday,2011-03
1696,2011-03-16,1,0,3,7,0,3,1,2,0.3,0.2879,0.93,0.194,10,101.0,111.0,Wednesday,2011-03
1697,2011-03-16,1,0,3,8,0,3,1,2,0.32,0.3182,0.93,0.0,26,227.0,253.0,Wednesday,2011-03
1698,2011-03-16,1,0,3,9,0,3,1,2,0.32,0.3333,0.93,0.1343,10,144.0,154.0,Wednesday,2011-03
1699,2011-03-16,1,0,3,10,0,3,1,2,0.36,0.3485,0.81,0.1642,19,49.0,68.0,Wednesday,2011-03
1700,2011-03-16,1,0,3,11,0,3,1,2,0.36,0.3485,0.81,0.1343,13,62.0,75.0,Wednesday,2011-03
1701,2011-03-16,1,0,3,12,0,3,1,2,0.4,0.4091,0.71,0.1045,23,65.0,88.0,Wednesday,2011-03
1702,2011-03-16,1,0,3,13,0,3,1,2,0.4,0.4091,0.76,0.1343,18,81.0,99.0,Wednesday,2011-03
1703,2011-03-16,1,0,3,14,0,3,1,2,0.4,0.4091,0.76,0.2239,33,67.0,100.0,Wednesday,2011-03
1704,2011-03-16,1,0,3,15,0,3,1,2,0.4,0.4091,0.76,0.2537,22,79.0,101.0,Wednesday,2011-03
1705,2011-03-16,1,0,3,16,0,3,1,2,0.4,0.4091,0.76,0.1642,30,121.0,151.0,Wednesday,2011-03
1706,2011-03-16,1,0,3,17,0,3,1,2,0.44,0.4394,0.54,0.2985,37,216.0,253.0,Wednesday,2011-03
1707,2011-03-16,1,0,3,18,0,3,1,2,0.44,0.4394,0.54,0.2239,26,211.0,237.0,Wednesday,2011-03
1708,2011-03-16,1,0,3,19,0,3,1,2,0.44,0.4394,0.51,0.3284,18,150.0,168.0,Wednesday,2011-03
1709,2011-03-16,1,0,3,20,0,3,1,2,0.42,0.4242,0.54,0.2985,10,111.0,121.0,Wednesday,2011-03
1710,2011-03-16,1,0,3,21,0,3,1,2,0.42,0.4242,0.58,0.2836,3,75.0,78.0,Wednesday,2011-03
1711,2011-03-16,1,0,3,22,0,3,1,2,0.4,0.4091,0.62,0.3881,11,48.0,59.0,Wednesday,2011-03
1712,2011-03-16,1,0,3,23,0,3,1,1,0.4,0.4091,0.65,0.194,9,18.0,27.0,Wednesday,2011-03
1713,2011-03-17,1,0,3,0,0,4,1,1,0.38,0.3939,0.66,0.2537,4,19.0,23.0,Thursday,2011-03
1714,2011-03-17,1,0,3,1,0,4,1,1,0.36,0.3485,0.71,0.2239,1,11.0,12.0,Thursday,2011-03
1715,2011-03-17,1,0,3,2,0,4,1,1,0.34,0.303,0.71,0.2985,3,5.0,8.0,Thursday,2011-03
1716,2011-03-17,1,0,3,3,0,4,1,1,0.34,0.3333,0.66,0.1642,1,1.0,2.0,Thursday,2011-03
1717,2011-03-17,1,0,3,4,0,4,1,1,0.34,0.3333,0.71,0.194,0,3.0,3.0,Thursday,2011-03
1718,2011-03-17,1,0,3,5,0,4,1,1,0.32,0.3333,0.76,0.1045,0,13.0,13.0,Thursday,2011-03
1719,2011-03-17,1,0,3,6,0,4,1,1,0.32,0.3182,0.76,0.194,4,47.0,51.0,Thursday,2011-03
1720,2011-03-17,1,0,3,7,0,4,1,1,0.32,0.3333,0.76,0.1343,12,128.0,140.0,Thursday,2011-03
1721,2011-03-17,1,0,3,8,0,4,1,1,0.36,0.3485,0.66,0.1343,17,282.0,299.0,Thursday,2011-03
1722,2011-03-17,1,0,3,9,0,4,1,1,0.4,0.4091,0.62,0.2537,23,162.0,185.0,Thursday,2011-03
1723,2011-03-17,1,0,3,10,0,4,1,1,0.44,0.4394,0.54,0.3284,9,69.0,78.0,Thursday,2011-03
1724,2011-03-17,1,0,3,11,0,4,1,1,0.44,0.4394,0.54,0.2836,20,66.0,86.0,Thursday,2011-03
1725,2011-03-17,1,0,3,12,0,4,1,1,0.5,0.4848,0.45,0.2239,24,81.0,105.0,Thursday,2011-03
1726,2011-03-17,1,0,3,13,0,4,1,2,0.52,0.5,0.42,0.0896,26,85.0,111.0,Thursday,2011-03
1727,2011-03-17,1,0,3,14,0,4,1,1,0.5,0.4848,0.45,0.1045,32,87.0,119.0,Thursday,2011-03
1728,2011-03-17,1,0,3,15,0,4,1,1,0.52,0.5,0.42,0.2537,30,95.0,125.0,Thursday,2011-03
1729,2011-03-17,1,0,3,16,0,4,1,1,0.5,0.4848,0.48,0.2836,34,108.0,142.0,Thursday,2011-03
1730,2011-03-17,1,0,3,17,0,4,1,1,0.5,0.4848,0.42,0.194,48,265.0,313.0,Thursday,2011-03
1731,2011-03-17,1,0,3,18,0,4,1,2,0.46,0.4545,0.59,0.1642,50,260.0,310.0,Thursday,2011-03
1732,2011-03-17,1,0,3,19,0,4,1,1,0.44,0.4394,0.58,0.194,18,189.0,207.0,Thursday,2011-03
